+3.1768%; 
+2.5806%; +3.3475%; +4.1145%; 
+1.9788%; +2.7457%; +3.5126%; +4.2795%; +5.0465%; 
+1.3715%; +2.1384%; +2.9053%; +3.6723%; +4.4392%; +5.2061%; +5.9730%; 
+0.75895%; +1.5259%; +2.2928%; +3.0597%; +3.8266%; +4.5935%; +5.3604%; +6.1273%; +6.8943%; 
+0.14128%; +0.90819%; +1.6751%; +2.4420%; +3.2089%; +3.9759%; +4.7428%; +5.5097%; +6.2766%; +7.0435%; +7.8104%; 
-0.48132%; +0.28560%; +1.0525%; +1.8194%; +2.5863%; +3.3533%; +4.1202%; +4.8871%; +5.6540%; +6.4209%; +7.1878%; +7.9547%; +8.7217%; 
-1.1087%; -0.34176%; +0.42515%; +1.1921%; +1.9590%; +2.7259%; +3.4928%; +4.2597%; +5.0266%; +5.7936%; +6.5605%; +7.3274%; +8.0943%; +8.8612%; +9.6281%; 
-1.7406%; -0.97372%; -0.20681%; +0.56011%; +1.3270%; +2.0939%; +2.8609%; +3.6278%; +4.3947%; +5.1616%; +5.9285%; +6.6954%; +7.4623%; +8.2293%; +8.9962%; +9.7631%; +10.530%; 
-2.3770%; -1.6101%; -0.84322%; -0.076302%; +0.69061%; +1.4575%; +2.2244%; +2.9914%; +3.7583%; +4.5252%; +5.2921%; +6.0590%; +6.8259%; +7.5928%; +8.3598%; +9.1267%; +9.8936%; +10.661%; +11.427%; 
-3.0178%; -2.2508%; -1.4839%; -0.71701%; +0.049907%; +0.81682%; +1.5837%; +2.3507%; +3.1176%; +3.8845%; +4.6514%; +5.4183%; +6.1852%; +6.9521%; +7.7191%; +8.4860%; +9.2529%; +10.020%; +10.787%; +11.554%; +12.321%; 
-3.6626%; -2.8957%; -2.1288%; -1.3619%; -0.59495%; +0.17196%; +0.93888%; +1.7058%; +2.4727%; +3.2396%; +4.0065%; +4.7735%; +5.5404%; +6.3073%; +7.0742%; +7.8411%; +8.6080%; +9.3749%; +10.142%; +10.909%; +11.676%; +12.443%; +13.210%; 
-4.3115%; -3.5446%; -2.7777%; -2.0107%; -1.2438%; -0.47691%; +0.29001%; +1.0569%; +1.8238%; +2.5908%; +3.3577%; +4.1246%; +4.8915%; +5.6584%; +6.4253%; +7.1922%; +7.9592%; +8.7261%; +9.4930%; +10.260%; +11.027%; +11.794%; +12.561%; +13.328%; +14.094%; 
-4.9642%; -4.1973%; -3.4304%; -2.6635%; -1.8966%; -1.1297%; -0.36274%; +0.40417%; +1.1711%; +1.9380%; +2.7049%; +3.4718%; +4.2387%; +5.0057%; +5.7726%; +6.5395%; +7.3064%; +8.0733%; +8.8402%; +9.6072%; +10.374%; +11.141%; +11.908%; +12.675%; +13.442%; +14.209%; +14.976%; 
-5.6207%; -4.8538%; -4.0869%; -3.3200%; -2.5531%; -1.7862%; -1.0192%; -0.25232%; +0.51459%; +1.2815%; +2.0484%; +2.8153%; +3.5823%; +4.3492%; +5.1161%; +5.8830%; +6.6499%; +7.4168%; +8.1837%; +8.9507%; +9.7176%; +10.484%; +11.251%; +12.018%; +12.785%; +13.552%; +14.319%; +15.086%; +15.853%; 
-6.2808%; -5.5139%; -4.7470%; -3.9801%; -3.2132%; -2.4463%; -1.6794%; -0.91244%; -0.14553%; +0.62139%; +1.3883%; +2.1552%; +2.9221%; +3.6890%; +4.4560%; +5.2229%; +5.9898%; +6.7567%; +7.5236%; +8.2905%; +9.0575%; +9.8244%; +10.591%; +11.358%; +12.125%; +12.892%; +13.659%; +14.426%; +15.193%; +15.960%; +16.727%; 
-6.9445%; -6.1776%; -5.4106%; -4.6437%; -3.8768%; -3.1099%; -2.3430%; -1.5761%; -0.80915%; -0.042232%; +0.72468%; +1.4916%; +2.2585%; +3.0254%; +3.7923%; +4.5593%; +5.3262%; +6.0931%; +6.8600%; +7.6269%; +8.3938%; +9.1607%; +9.9277%; +10.695%; +11.461%; +12.228%; +12.995%; +13.762%; +14.529%; +15.296%; +16.063%; +16.830%; +17.597%; 
-7.6115%; -6.8446%; -6.0776%; -5.3107%; -4.5438%; -3.7769%; -3.0100%; -2.2431%; -1.4761%; -0.70923%; +0.057681%; +0.82460%; +1.5915%; +2.3584%; +3.1253%; +3.8923%; +4.6592%; +5.4261%; +6.1930%; +6.9599%; +7.7268%; +8.4937%; +9.2607%; +10.028%; +10.794%; +11.561%; +12.328%; +13.095%; +13.862%; +14.629%; +15.396%; +16.163%; +16.930%; +17.697%; +18.464%; 
-8.2817%; -7.5148%; -6.7479%; -5.9810%; -5.2141%; -4.4472%; -3.6802%; -2.9133%; -2.1464%; -1.3795%; -0.61259%; +0.15432%; +0.92124%; +1.6882%; +2.4551%; +3.2220%; +3.9889%; +4.7558%; +5.5227%; +6.2896%; +7.0566%; +7.8235%; +8.5904%; +9.3573%; +10.124%; +10.891%; +11.658%; +12.425%; +13.192%; +13.959%; +14.726%; +15.493%; +16.260%; +17.026%; +17.793%; +18.560%; +19.327%; 
-8.9552%; -8.1883%; -7.4213%; -6.6544%; -5.8875%; -5.1206%; -4.3537%; -3.5868%; -2.8199%; -2.0529%; -1.2860%; -0.51911%; +0.24781%; +1.0147%; +1.7816%; +2.5486%; +3.3155%; +4.0824%; +4.8493%; +5.6162%; +6.3831%; +7.1500%; +7.9170%; +8.6839%; +9.4508%; +10.218%; +10.985%; +11.752%; +12.518%; +13.285%; +14.052%; +14.819%; +15.586%; +16.353%; +17.120%; +17.887%; +18.654%; +19.421%; +20.188%; 
-9.6317%; -8.8647%; -8.0978%; -7.3309%; -6.5640%; -5.7971%; -5.0302%; -4.2633%; -3.4963%; -2.7294%; -1.9625%; -1.1956%; -0.42868%; +0.33824%; +1.1052%; +1.8721%; +2.6390%; +3.4059%; +4.1728%; +4.9397%; +5.7066%; +6.4736%; +7.2405%; +8.0074%; +8.7743%; +9.5412%; +10.308%; +11.075%; +11.842%; +12.609%; +13.376%; +14.143%; +14.910%; +15.677%; +16.443%; +17.210%; +17.977%; +18.744%; +19.511%; +20.278%; +21.045%; 
-10.311%; -9.5442%; -8.7773%; -8.0103%; -7.2434%; -6.4765%; -5.7096%; -4.9427%; -4.1758%; -3.4089%; -2.6419%; -1.8750%; -1.1081%; -0.34120%; +0.42572%; +1.1926%; +1.9595%; +2.7265%; +3.4934%; +4.2603%; +5.0272%; +5.7941%; +6.5610%; +7.3280%; +8.0949%; +8.8618%; +9.6287%; +10.396%; +11.163%; +11.929%; +12.696%; +13.463%; +14.230%; +14.997%; +15.764%; +16.531%; +17.298%; +18.065%; +18.832%; +19.599%; +20.366%; +21.132%; +21.899%; 
-10.993%; -10.226%; -9.4596%; -8.6926%; -7.9257%; -7.1588%; -6.3919%; -5.6250%; -4.8581%; -4.0911%; -3.3242%; -2.5573%; -1.7904%; -1.0235%; -0.25657%; +0.51034%; +1.2773%; +2.0442%; +2.8111%; +3.5780%; +4.3449%; +5.1118%; +5.8787%; +6.6457%; +7.4126%; +8.1795%; +8.9464%; +9.7133%; +10.480%; +11.247%; +12.014%; +12.781%; +13.548%; +14.315%; +15.082%; +15.849%; +16.616%; +17.382%; +18.149%; +18.916%; +19.683%; +20.450%; +21.217%; +21.984%; +22.751%; 
-11.678%; -10.912%; -10.145%; -9.3777%; -8.6108%; -7.8439%; -7.0769%; -6.3100%; -5.5431%; -4.7762%; -4.0093%; -3.2424%; -2.4754%; -1.7085%; -0.94162%; -0.17470%; +0.59221%; +1.3591%; +2.1260%; +2.8930%; +3.6599%; +4.4268%; +5.1937%; +5.9606%; +6.7275%; +7.4944%; +8.2614%; +9.0283%; +9.7952%; +10.562%; +11.329%; +12.096%; +12.863%; +13.630%; +14.397%; +15.164%; +15.931%; +16.697%; +17.464%; +18.231%; +18.998%; +19.765%; +20.532%; +21.299%; +22.066%; +22.833%; +23.600%; 
-12.366%; -11.599%; -10.832%; -10.065%; -9.2985%; -8.5316%; -7.7647%; -6.9977%; -6.2308%; -5.4639%; -4.6970%; -3.9301%; -3.1632%; -2.3962%; -1.6293%; -0.86242%; -0.095502%; +0.67141%; +1.4383%; +2.2052%; +2.9722%; +3.7391%; +4.5060%; +5.2729%; +6.0398%; +6.8067%; +7.5736%; +8.3406%; +9.1075%; +9.8744%; +10.641%; +11.408%; +12.175%; +12.942%; +13.709%; +14.476%; +15.243%; +16.010%; +16.777%; +17.544%; +18.310%; +19.077%; +19.844%; +20.611%; +21.378%; +22.145%; +22.912%; +23.679%; +24.446%; 
-13.056%; -12.290%; -11.523%; -10.756%; -9.9888%; -9.2219%; -8.4549%; -7.6880%; -6.9211%; -6.1542%; -5.3873%; -4.6204%; -3.8534%; -3.0865%; -2.3196%; -1.5527%; -0.78579%; -0.018875%; +0.74804%; +1.5150%; +2.2819%; +3.0488%; +3.8157%; +4.5826%; +5.3495%; +6.1164%; +6.8834%; +7.6503%; +8.4172%; +9.1841%; +9.9510%; +10.718%; +11.485%; +12.252%; +13.019%; +13.786%; +14.553%; +15.319%; +16.086%; +16.853%; +17.620%; +18.387%; +19.154%; +19.921%; +20.688%; +21.455%; +22.222%; +22.989%; +23.755%; +24.522%; +25.289%; 
-13.749%; -12.982%; -12.215%; -11.448%; -10.682%; -9.9146%; -9.1477%; -8.3808%; -7.6139%; -6.8470%; -6.0801%; -5.3131%; -4.5462%; -3.7793%; -3.0124%; -2.2455%; -1.4786%; -0.71165%; +0.055262%; +0.82218%; +1.5891%; +2.3560%; +3.1229%; +3.8898%; +4.6568%; +5.4237%; +6.1906%; +6.9575%; +7.7244%; +8.4913%; +9.2582%; +10.025%; +10.792%; +11.559%; +12.326%; +13.093%; +13.860%; +14.627%; +15.394%; +16.160%; +16.927%; +17.694%; +18.461%; +19.228%; +19.995%; +20.762%; +21.529%; +22.296%; +23.063%; +23.830%; +24.597%; +25.363%; +26.130%; 
-13.677%; -12.911%; -12.144%; -11.377%; -10.610%; -9.8429%; -9.0760%; -8.3091%; -7.5422%; -6.7752%; -6.0083%; -5.2414%; -4.4745%; -3.7076%; -2.9407%; -2.1738%; -1.4068%; -0.63992%; +0.12699%; +0.89391%; +1.6608%; +2.4277%; +3.1947%; +3.9616%; +4.7285%; +5.4954%; +6.2623%; +7.0292%; +7.7961%; +8.5631%; +9.3300%; +10.097%; +10.864%; +11.631%; +12.398%; +13.165%; +13.931%; +14.698%; +15.465%; +16.232%; +16.999%; +17.766%; +18.533%; +19.300%; +20.067%; +20.834%; +21.601%; +22.368%; +23.134%; +23.901%; +24.668%; +25.435%; +26.202%; 
-13.608%; -12.841%; -12.074%; -11.307%; -10.540%; -9.7735%; -9.0066%; -8.2397%; -7.4728%; -6.7058%; -5.9389%; -5.1720%; -4.4051%; -3.6382%; -2.8713%; -2.1043%; -1.3374%; -0.57052%; +0.19640%; +0.96331%; +1.7302%; +2.4971%; +3.2641%; +4.0310%; +4.7979%; +5.5648%; +6.3317%; +7.0986%; +7.8655%; +8.6325%; +9.3994%; +10.166%; +10.933%; +11.700%; +12.467%; +13.234%; +14.001%; +14.768%; +15.535%; +16.302%; +17.069%; +17.835%; +18.602%; +19.369%; +20.136%; +20.903%; +21.670%; +22.437%; +23.204%; +23.971%; +24.738%; +25.505%; +26.272%; 
-13.541%; -12.774%; -12.007%; -11.240%; -10.473%; -9.7063%; -8.9394%; -8.1725%; -7.4056%; -6.6387%; -5.8718%; -5.1049%; -4.3379%; -3.5710%; -2.8041%; -2.0372%; -1.2703%; -0.50336%; +0.26355%; +1.0305%; +1.7974%; +2.5643%; +3.3312%; +4.0981%; +4.8650%; +5.6320%; +6.3989%; +7.1658%; +7.9327%; +8.6996%; +9.4665%; +10.233%; +11.000%; +11.767%; +12.534%; +13.301%; +14.068%; +14.835%; +15.602%; +16.369%; +17.136%; +17.903%; +18.670%; +19.436%; +20.203%; +20.970%; +21.737%; +22.504%; +23.271%; +24.038%; +24.805%; +25.572%; +26.339%; 
-13.476%; -12.709%; -11.942%; -11.175%; -10.408%; -9.6414%; -8.8744%; -8.1075%; -7.3406%; -6.5737%; -5.8068%; -5.0399%; -4.2730%; -3.5060%; -2.7391%; -1.9722%; -1.2053%; -0.43838%; +0.32853%; +1.0954%; +1.8624%; +2.6293%; +3.3962%; +4.1631%; +4.9300%; +5.6969%; +6.4639%; +7.2308%; +7.9977%; +8.7646%; +9.5315%; +10.298%; +11.065%; +11.832%; +12.599%; +13.366%; +14.133%; +14.900%; +15.667%; +16.434%; +17.201%; +17.968%; +18.734%; +19.501%; +20.268%; +21.035%; +21.802%; +22.569%; +23.336%; +24.103%; +24.870%; +25.637%; +26.404%; 
-13.413%; -12.646%; -11.879%; -11.112%; -10.345%; -9.5785%; -8.8116%; -8.0447%; -7.2777%; -6.5108%; -5.7439%; -4.9770%; -4.2101%; -3.4432%; -2.6762%; -1.9093%; -1.1424%; -0.37550%; +0.39141%; +1.1583%; +1.9252%; +2.6922%; +3.4591%; +4.2260%; +4.9929%; +5.7598%; +6.5267%; +7.2936%; +8.0606%; +8.8275%; +9.5944%; +10.361%; +11.128%; +11.895%; +12.662%; +13.429%; +14.196%; +14.963%; +15.730%; +16.497%; +17.264%; +18.030%; +18.797%; +19.564%; +20.331%; +21.098%; +21.865%; +22.632%; +23.399%; +24.166%; +24.933%; +25.700%; +26.467%; 
-13.352%; -12.585%; -11.818%; -11.051%; -10.285%; -9.5176%; -8.7507%; -7.9838%; -7.2169%; -6.4500%; -5.6831%; -4.9161%; -4.1492%; -3.3823%; -2.6154%; -1.8485%; -1.0816%; -0.31466%; +0.45226%; +1.2192%; +1.9861%; +2.7530%; +3.5199%; +4.2868%; +5.0537%; +5.8207%; +6.5876%; +7.3545%; +8.1214%; +8.8883%; +9.6552%; +10.422%; +11.189%; +11.956%; +12.723%; +13.490%; +14.257%; +15.024%; +15.791%; +16.557%; +17.324%; +18.091%; +18.858%; +19.625%; +20.392%; +21.159%; +21.926%; +22.693%; +23.460%; +24.227%; +24.994%; +25.760%; +26.527%; 
-13.293%; -12.526%; -11.759%; -10.993%; -10.226%; -9.4588%; -8.6918%; -7.9249%; -7.1580%; -6.3911%; -5.6242%; -4.8573%; -4.0903%; -3.3234%; -2.5565%; -1.7896%; -1.0227%; -0.25577%; +0.51114%; +1.2781%; +2.0450%; +2.8119%; +3.5788%; +4.3457%; +5.1126%; +5.8795%; +6.6465%; +7.4134%; +8.1803%; +8.9472%; +9.7141%; +10.481%; +11.248%; +12.015%; +12.782%; +13.549%; +14.316%; +15.083%; +15.849%; +16.616%; +17.383%; +18.150%; +18.917%; +19.684%; +20.451%; +21.218%; +21.985%; +22.752%; +23.519%; +24.286%; +25.052%; +25.819%; +26.586%; 
-13.236%; -12.469%; -11.703%; -10.936%; -10.169%; -9.4018%; -8.6349%; -7.8679%; -7.1010%; -6.3341%; -5.5672%; -4.8003%; -4.0334%; -3.2664%; -2.4995%; -1.7326%; -0.96570%; -0.19879%; +0.56813%; +1.3350%; +2.1020%; +2.8689%; +3.6358%; +4.4027%; +5.1696%; +5.9365%; +6.7034%; +7.4704%; +8.2373%; +9.0042%; +9.7711%; +10.538%; +11.305%; +12.072%; +12.839%; +13.606%; +14.373%; +15.140%; +15.906%; +16.673%; +17.440%; +18.207%; +18.974%; +19.741%; +20.508%; +21.275%; +22.042%; +22.809%; +23.576%; +24.342%; +25.109%; +25.876%; +26.643%; 
-13.181%; -12.414%; -11.647%; -10.880%; -10.114%; -9.3466%; -8.5797%; -7.8128%; -7.0459%; -6.2790%; -5.5120%; -4.7451%; -3.9782%; -3.2113%; -2.4444%; -1.6775%; -0.91055%; -0.14364%; +0.62328%; +1.3902%; +2.1571%; +2.9240%; +3.6909%; +4.4579%; +5.2248%; +5.9917%; +6.7586%; +7.5255%; +8.2924%; +9.0593%; +9.8263%; +10.593%; +11.360%; +12.127%; +12.894%; +13.661%; +14.428%; +15.195%; +15.962%; +16.728%; +17.495%; +18.262%; +19.029%; +19.796%; +20.563%; +21.330%; +22.097%; +22.864%; +23.631%; +24.398%; +25.165%; +25.931%; +26.698%; 
-13.128%; -12.361%; -11.594%; -10.827%; -10.060%; -9.2932%; -8.5263%; -7.7594%; -6.9925%; -6.2256%; -5.4587%; -4.6918%; -3.9248%; -3.1579%; -2.3910%; -1.6241%; -0.85718%; -0.090262%; +0.67665%; +1.4436%; +2.2105%; +2.9774%; +3.7443%; +4.5112%; +5.2781%; +6.0451%; +6.8120%; +7.5789%; +8.3458%; +9.1127%; +9.8796%; +10.647%; +11.413%; +12.180%; +12.947%; +13.714%; +14.481%; +15.248%; +16.015%; +16.782%; +17.549%; +18.316%; +19.083%; +19.850%; +20.616%; +21.383%; +22.150%; +22.917%; +23.684%; +24.451%; +25.218%; +25.985%; +26.752%; 
-13.076%; -12.309%; -11.542%; -10.775%; -10.008%; -9.2416%; -8.4747%; -7.7078%; -6.9408%; -6.1739%; -5.4070%; -4.6401%; -3.8732%; -3.1063%; -2.3393%; -1.5724%; -0.80552%; -0.038603%; +0.72831%; +1.4952%; +2.2621%; +3.0291%; +3.7960%; +4.5629%; +5.3298%; +6.0967%; +6.8636%; +7.6305%; +8.3975%; +9.1644%; +9.9313%; +10.698%; +11.465%; +12.232%; +12.999%; +13.766%; +14.533%; +15.300%; +16.067%; +16.834%; +17.600%; +18.367%; +19.134%; +19.901%; +20.668%; +21.435%; +22.202%; +22.969%; +23.736%; +24.503%; +25.270%; +26.037%; +26.803%; 
-13.026%; -12.259%; -11.492%; -10.725%; -9.9585%; -9.1916%; -8.4247%; -7.6578%; -6.8908%; -6.1239%; -5.3570%; -4.5901%; -3.8232%; -3.0563%; -2.2893%; -1.5224%; -0.75552%; +0.011398%; +0.77831%; +1.5452%; +2.3121%; +3.0791%; +3.8460%; +4.6129%; +5.3798%; +6.1467%; +6.9136%; +7.6805%; +8.4475%; +9.2144%; +9.9813%; +10.748%; +11.515%; +12.282%; +13.049%; +13.816%; +14.583%; +15.350%; +16.117%; +16.884%; +17.650%; +18.417%; +19.184%; +19.951%; +20.718%; +21.485%; +22.252%; +23.019%; +23.786%; +24.553%; +25.320%; +26.087%; +26.853%; 
